,Company Name,Experience Required,Job Description,Job Description Page,Job Title,Keyskills,Location,Salary
0,AXIS SOLUTION,3-7 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Junior Data Analyst,"data analysis, data analytics, data collection, data recovery, data backup,...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    3,25,000 - 8,25,000 P.A. Permanent Job, Full Time  "
1,R1 RCM Global Private Limited (Formerly known as Accretive Health),2-4 yrs,"2+ years work experience on  Excel, T-SQL, SSIS ETL & Power BI;No healthcare experience required, ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Walk-in Data Analyst (tsql & Ssis),"power bi, t - sql, etl, ssis","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
2,Nastech Consulting,1-4 yrs,"- Should have relevant experience of 1-3 years in the field analytics / data science, designing &amp ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Business Analyst - Data Analytics,"oracle sql, obiee, data analytics, data mining, business analysis, excel...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
3,Alloys Consulting Private Limited,8-12 yrs,"- To be successful in this role, you will have an overall post-qualification experience of around 10-12 ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Manager/ AVP - Data/ Business Analyst,"Data Quality, Business Intelligence, Business Analysis, Data Mapping...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
4,Caliber Human Resources Ltd.,10-12 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,"Sr. Data Analyst - Monitoring & Evaluation, Gurgaon","Data Management, Data Analysis, Statistics, micro analysis...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
5,Omnicom Media Group India Private Limited,3-5 yrs,"Experience with advanced data management programs (SQL, Access, etc.);Experience with data visualization ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,"Urgent Opening for Data Analyst @ Annalect, Gurgaon","sql, data analysis, data visualization, excel, data management...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
6,CE INFO Systems  Private Limited  (Map My India),1-4 yrs,"Experience in data analysis using Statistical techniques such clusterings, segmentations, exploratory ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst | Mapmyindia,"Data Analysis, Python, Alteryx, Data Analytics, data mining...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    2,50,000 - 5,00,000 P.A.  "
7,Caliber Human Resources Ltd.,2-7 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst for M&E | MNC| Gurgaon | Advanced Excel + Tableau,"advanced excel, data analysis, monitoring, data evaluation, tableau...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
8,HuQuo Consulting Pvt. Ltd.,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Business Analyst/ Senior Business Analyst - Data Analytics - BFSI,"Business Analysis, Excel, Data Analytics, SAS, VBA, Problem Solving...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
9,Selling Simplified India Pvt Ltd.,1-3 yrs,"Selling Simplified India is looking for highly productive professional, who are very confident, have a ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst-only B.tech or MCA,"excel, data analysis, data collection, secondary research, market research,...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
